index,x,y
truck1,112.75506445672193,58.06677796327212
truck6,56.22222222222222,129.48580968280467
truck7,113.0656844689994,131.03839732888147
truck8,164.62860650705954,130.41736227045075
truck17,310.62001227747083,222.02003338898166
truck27,173.94720687538367,340.3272120200334
truck29,296.0208717004297,350.8848080133556
truck33,393.24493554327813,377.2787979966611
truck34,337.9545733578883,395.28881469115197
truck35,288.8766114180479,385.35225375626044
truck36,303.16513198281154,414.85141903171956
truck37,209.35788827501537,398.3939899833055
truck43,290.42971147943524,506.7646076794658
truck49,492.64333947206876,479.7495826377296
truck54,320.5598526703499,273.5659432387312
